Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
V1113 Cyg   ;19 22 42.1;+52 44 00;DN;SU;18.6; 0.076500;       ;       ;    ;      ;
AW Gem      ;07 22 40.6;+28 30 16;DN;SU;18.8; 0.076500;       ;       ;    ;      ;
J1751-2933#2;17 51 33.6;-29 33 13;NL;AM;22.4; 0.076400;       ;       ;    ;      ;
SU UMa      ;08 12 28.2;+62 36 23;DN;SU;14.2; 0.076350;       ;       ;    ;      ;
T Pyx       ;09 04 41.5;-32 22 47;Nr;SS;15.1; 0.076223;       ;       ;    ;      ;
QY Per      ;03 15 36.8;+42 28 14;DN;SU;21.0; 0.076100;       ;       ;    ;      ;
RZ Leo      ;11 37 22.3;+01 48 58;DN;SU;18.5; 0.076038;M3-5/5 ;       ;    ;      ;
V368 Per    ;02 47 32.6;+34 58 28;DN;SU;20.7; 0.076000;       ;       ;    ;      ;
J0024-6635  ;00 24 30.7;-66 35 53;DN;SU;20.3; 0.076000;       ;       ;    ;      ;
J0437+3652  ;04 37 19.0;+36 52 55;DN;SU;20.7; 0.076000;       ;       ;    ;      ;
J1900-4930  ;19 00 05.3;-49 30 34;DN;SU;20.0; 0.076000;       ;       ;    ;      ;
J1909-6328  ;19 09 55.8;-63 28 06;DN;SU;20.7; 0.076000;       ;       ;    ;      ;
V893 Sco    ;16 15 15.1;-28 37 31;DN;SU;14.0; 0.075961;       ;       ;72.5; 0.890; 0.175
EG Aqr      ;23 25 19.2;-08 18 19;DN;SU;18.3; 0.075960;       ;       ;    ;      ;
WY Tri      ;02 25 00.5;+32 59 56;DN;SU;19.1; 0.075900;       ;       ;    ;      ;
J1222-3115  ;12 22 21.7;-31 15 23;DN;SU;19.1; 0.075879;       ;       ;    ;      ;
TT Boo      ;14 57 44.7;+40 43 42;DN;SU;19.2; 0.075600;       ;       ;    ;      ;
LX Cnc      ;08 12 07.6;+13 18 24;DN;SU;19.3; 0.075600;       ;       ;    ;      ;
J1626-1255  ;16 26 19.9;-12 55 56;DN;  ;20.1; 0.075460;       ;       ;    ;      ;
CE Gru      ;21 37 56.4;-43 42 13;NL;AM;18.0; 0.075400;       ;       ;    ;      ;
V342 Cam    ;04 23 32.9;+74 52 50;DN;SU;17.5; 0.075310;       ;       ;    ;      ;
J0839+2828  ;08 39 31.4;+28 28 24;DN;SU;20.2; 0.075300;       ;       ;    ;      ;
J2158+0947  ;21 58 15.3;+09 47 10;DN;SU;16.8; 0.075200;       ;       ;    ;      ;
J1005+1911  ;10 05 15.4;+19 11 08;DN;SU;18.2; 0.075100;       ;       ;    ;      ;
J0741-0945  ;07 41 12.7;-09 45 56;DN;SU;19.3; 0.075000;       ;       ;    ;      ;
J1449-3244  ;14 49 27.0;-32 44 07;DN;SU;21.2; 0.075000;       ;       ;    ;      ;
J1545+4428  ;15 45 44.9;+44 28 30;DN;SU;20.9; 0.075000;       ;       ;    ;      ;
J1821+1709  ;18 21 13.9;+17 09 16;DN;SU;18.8; 0.075000;       ;       ;    ;      ;
J1915+4036  ;19 15 11.8;+40 36 26;DN;SU;23.0; 0.075000;       ;       ;    ;      ;
J1939+3927  ;19 39 48.8;+39 27 19;DN;SU;19.2; 0.075000;       ;       ;    ;      ;
J2118-3413  ;21 18 04.3;-34 13 43;DN;  ;15.5; 0.075000;       ;       ;    ;      ;
J2254-3612  ;22 54 35.7;-36 12 27;DN;SU;20.7; 0.075000;       ;       ;    ;      ;
FT Cam      ;03 21 14.4;+61 05 27;DN;SU;17.5; 0.074990;       ;       ;    ;      ;
BK Lyn      ;09 20 11.2;+33 56 42;DN;ER;16.0; 0.074980;       ;       ;    ;      ;
J0814-0050  ;08 14 18.9;-00 50 22;DN;SU;19.1; 0.074850;       ;       ;    ;      ;
WX Hyi      ;02 09 50.7;-63 18 40;DN;SU;14.7; 0.074813;       ;       ;40.0; 0.900; 0.160
LY Hya      ;13 31 53.8;-29 40 59;DN;SU;17.4; 0.074800;       ;       ;    ;      ;
J0501+2038  ;05 01 24.1;+20 38 18;DN;  ;19.1; 0.074800;       ;       ;    ;      ;
BE Oct      ;00 00 48.8;-77 18 57;DN;SU;20.4; 0.074700;       ;       ;    ;      ;
QT Aqr      ;20 59 14.9;-06 12 20;DN;  ;18.4; 0.074700;       ;       ;    ;      ;
J1922+4309  ;19 22 54.9;+43 09 05;DN;SU;17.6; 0.074606;       ;       ;    ;      ;
AY For      ;02 42 34.8;-28 02 44;DN;SU;18.4; 0.074600;       ;       ;    ;      ;
QW Ser      ;15 26 14.0;+08 18 02;DN;SU;18.0; 0.074572;       ;       ;    ;      ;
Z Cha       ;08 07 28.2;-76 32 01;DN;SU;15.5; 0.074499;M5.5/5 ;       ;81.8; 0.840; 0.125
J2344-0012  ;23 44 40.5;-00 12 06;DN;SU;21.0; 0.074400;       ;       ;    ;      ;
V1251 Cyg   ;21 40 54.4;+48 39 43;DN;SU;20.5; 0.074330;       ;       ;    ;      ;
J1002-1925  ;10 02 11.7;-19 25 38;NL;AM;17.0; 0.074300;       ;       ;    ;      ;
J1858+4914  ;18 58 30.9;+49 14 33;DN;SU;16.5; 0.074300;       ;       ;    ;      ;
VW Hyi      ;04 09 11.3;-71 17 41;DN;SU;13.4; 0.074271;M4/5   ;       ;    ; 0.670; 0.110
V663 Ara    ;16 46 57.7;-55 41 21;DN;SU;    ; 0.074100;       ;       ;    ;      ;
V1316 Cyg   ;20 12 13.6;+42 45 52;DN;SU;17.5; 0.074000;       ;       ;    ;      ;
NY Her      ;17 52 52.6;+29 22 19;DN;SU;18.2; 0.074000;       ;       ;    ;      ;
J0442-0023  ;04 42 16.0;-00 23 34;DN;SU;21.0; 0.074000;       ;       ;    ;      ;
J0543+0931  ;05 43 18.0;+09 31 15;DN;SU;21.0; 0.074000;       ;       ;    ;      ;
J0610+1240  ;06 10 04.0;+12 40 09;DN;SU;21.5; 0.074000;       ;       ;    ;      ;
J0819+1915  ;08 19 36.1;+19 15 40;DN;SU;20.5; 0.074000;       ;       ;    ;      ;
J1649+0358  ;16 49 50.4;+03 58 35;DN;SU;19.3; 0.074000;       ;       ;    ;      ;
J1912+5034  ;19 12 35.6;+50 34 32;DN;SU;20.0; 0.074000;       ;       ;    ;      ;
IY UMa      ;10 43 57.0;+58 07 33;DN;SU;17.3; 0.073909;M4/5   ;       ;86.0; 0.790; 0.100
J1413-6517  ;14 13 32.9;-65 17 57;NL;AM;22.5; 0.073810;       ;       ;    ;      ;
AY Lyr      ;18 44 26.7;+37 59 52;DN;SU;18.5; 0.073700;       ;       ;    ;      ;
HT Cas      ;01 10 13.0;+60 04 36;DN;SU;16.4; 0.073647;M5.5/5 ;       ;81.0; 0.610; 0.090
CC Cnc      ;08 36 19.2;+21 21 05;DN;SU;17.4; 0.073520;       ;       ;    ;      ;
DM Dra      ;15 34 12.1;+59 48 32;DN;SU;20.8; 0.073500;       ;       ;    ;      ;
J1751-2927  ;17 51 33.9;-29 27 54;NL;AM;20.5; 0.073400;       ;       ;    ;      ;
VZ Pyx      ;08 59 19.9;-24 28 55;DN;SU;15.5; 0.073320;       ;       ;    ;      ;
KV And      ;02 17 13.8;+40 41 31;DN;SU;19.5; 0.073300;       ;       ;    ;      ;
V677 And    ;23 34 23.1;+39 14 23;NL;AM;17.0; 0.073080;       ;       ;    ;      ;
IL Vul      ;20 38 32.7;+22 42 17;DN;SU;20.0; 0.073000;       ;       ;    ;      ;
J1110-2337  ;11 10 46.2;-23 37 45;DN;SU;20.7; 0.073000;       ;       ;    ;      ;
J1343-4426  ;13 43 37.2;-44 26 42;DN;SU;19.2; 0.073000;       ;       ;    ;      ;
J1755-0051  ;17 55 02.1;-00 51 41;DN;SU;22.0; 0.073000;       ;       ;    ;      ;
J2056-3014  ;20 56 52.1;-30 14 38;DN;IP;15.2; 0.073000;       ;       ;    ;      ;
OU Vir      ;14 35 00.1;-00 46 07;DN;SU;17.5; 0.072730;       ;       ;79.6; 0.700; 0.116
DT Oct      ;18 40 52.6;-83 43 10;DN;SU;17.1; 0.072707;       ;       ;    ;      ;
J0803+2848  ;08 03 07.0;+28 48 56;DN;SU;20.6; 0.072700;       ;       ;    ;      ;
EP Dra      ;19 07 06.1;+69 08 42;NL;AM;17.0; 0.072656;       ;       ;80.0; 0.430; 0.130
TU Tri      ;01 39 15.3;+31 24 19;DN;SU;18.5; 0.072400;       ;       ;    ;      ;
NGC 104-W21 ;00 24 07.6;-72 05 27;CV;  ;20.9; 0.072230;       ;       ;    ;      ;
J0953+1458  ;09 53 08.1;+14 58 36;NL;AM;17.3; 0.072049;       ;       ;    ;      ;
V1047 Aql   ;19 51 31.1;+10 57 22;DN;SU;18.3; 0.072000;       ;       ;    ;      ;
BB Ari      ;02 44 57.7;+27 31 09;DN;SU;16.0; 0.072000;       ;       ;    ;      ;
AW Sge      ;19 58 37.1;+16 41 29;DN;SU;19.3; 0.072000;       ;       ;    ;      ;
J2123-1539  ;21 23 25.6;-15 39 54;DN;SU;20.5; 0.072000;       ;       ;    ;      ;
QV Aqr      ;21 04 50.0;+01 05 46;DN;SU;20.5; 0.071960;       ;       ;    ;      ;
J1754-3526  ;17 54 16.2;-35 26 40;DN;SU;17.0; 0.071931;       ;       ;    ;      ;
NN Cam      ;04 12 36.9;+69 29 06;DN;SU;17.2; 0.071700;       ;       ;    ;      ;
V529 Dra    ;18 42 28.1;+48 37 42;DN;SU;21.0; 0.071680;       ;       ;    ;      ;
FO And      ;01 15 32.1;+37 37 36;DN;SU;17.5; 0.071610;       ;       ;    ;      ;
J0150+3756  ;01 50 16.2;+37 56 19;DN;SU;19.1; 0.071500;       ;       ;    ;      ;
GD 552      ;22 50 39.9;+63 28 38;DN;WZ;16.3; 0.071340;       ;       ;    ;      ; 0.080
FQ Mon      ;07 16 41.2;-06 56 49;DN;SU;21.7; 0.071300;       ;       ;    ;      ;
VW CrB      ;16 00 03.8;+33 11 15;DN;SU;19.6; 0.071000;       ;       ;    ;      ;
V1024 Per   ;04 02 39.0;+42 50 45;DN;SU;16.2; 0.071000;       ;       ;    ;      ;
J0115+2455  ;01 15 16.5;+24 55 30;DN;SU;21.2; 0.071000;       ;       ;    ;      ;
J0133+4107  ;01 33 07.6;+41 07 19;DN;SU;21.6; 0.071000;       ;       ;    ;      ;
J0150+3326  ;01 50 51.5;+33 26 22;DN;SU;18.2; 0.071000;       ;       ;    ;      ;
J0316+1758  ;03 16 00.1;+17 58 24;DN;SU;22.2; 0.071000;       ;       ;    ;      ;
J0512+4505  ;05 12 34.6;+45 05 12;DN;SU;20.6; 0.071000;       ;       ;    ;      ;
J0803+2516  ;08 03 03.9;+25 16 27;DN;SU;19.6; 0.071000;       ;       ;    ;      ;
J1600+7050  ;16 00 20.6;+70 50 07;DN;SU;19.2; 0.071000;       ;       ;    ;      ;
J1723+1757  ;17 23 06.3;+17 57 56;DN;SU;20.5; 0.071000;       ;       ;    ;      ;
J2159-3529  ;21 59 06.9;-35 29 57;DN;SU;21.7; 0.071000;       ;       ;    ;      ;
J2305+6521  ;23 05 38.4;+65 21 59;DN;SU;19.4; 0.071000;       ;       ;    ;      ;
J0706+0324  ;07 06 48.9;+03 24 48;NL;AM;15.8; 0.070910;       ;       ;    ;      ;
RS Cae      ;04 53 25.5;-42 13 40;NL;AM;18.4; 0.070900;       ;       ;    ;      ;
V834 Cen    ;14 09 07.5;-45 17 17;NL;AM;14.2; 0.070498;M5-8/5 ;       ;50.0; 0.660;
J0221-2619  ;02 21 37.9;-26 19 52;DN;  ;19.0; 0.070490;       ;       ;    ;      ;
J0838+4910  ;08 38 45.2;+49 10 56;DN;SU;19.6; 0.070300;       ;       ;    ;      ;
V362 Lib    ;14 43 41.9;-17 55 49;DN;SU;20.0; 0.070200;       ;       ;    ;      ;
J0345-0152  ;03 45 15.4;-01 52 16;DN;  ;18.7; 0.070180;       ;       ;    ;      ;
V379 Tel    ;19 28 32.5;-50 01 35;NL;AM;    ; 0.070162;M5/5   ;       ;77.0;      ;
J1740+0603  ;17 40 45.9;+06 03 51;CV;  ;15.3; 0.070100;       ;       ;    ;      ;
V2779 Oph   ;18 08 35.8;+10 10 30;DN;SU;18.0; 0.070037;       ;       ;77.1;      ;
V2527 Oph   ;17 22 04.4;-19 49 09;DN;SU;19.0; 0.070000;       ;       ;    ;      ;
M31 2006-04a;00 43 13.4;+41 16 59;N ;SS;20.5; 0.070000;       ;       ;    ;      ;
J0015+2636  ;00 15 38.2;+26 36 57;DN;SU;17.9; 0.070000;       ;       ;    ;      ;
J0042-5609  ;00 42 14.2;-56 09 20;DN;SU;18.7; 0.070000;       ;       ;    ;      ;
J0213+4606  ;02 13 17.2;+46 06 43;DN;SU;18.5; 0.070000;       ;       ;    ;      ;
J0513-2619  ;05 13 06.6;-26 19 52;DN;SU;10.9; 0.070000;       ;       ;    ;      ;
J0754+3812  ;07 54 18.7;+38 12 25;DN;SU;22.8; 0.070000;       ;       ;    ;      ;
J1057-2156  ;10 57 49.8;-21 56 58;DN;  ;17.5; 0.070000;       ;       ;    ;      ;
J1853+4758  ;18 53 55.8;+47 58 31;DN;SU;20.9; 0.070000;       ;       ;    ;      ;
J1927-4847  ;19 27 10.1;-48 47 52;DN;SU;17.1; 0.070000;       ;       ;    ;      ;
J1959-1833  ;19 59 18.0;-18 33 31;DN;SU;21.0; 0.070000;       ;       ;    ;      ;
J2027-2240  ;20 27 31.2;-22 40 01;DN;SU;18.6; 0.070000;       ;       ;    ;      ;
J2157+1049  ;21 57 23.1;+10 49 59;DN;SU;20.9; 0.070000;       ;       ;    ;      ;
VV Pup      ;08 15 06.7;-19 03 17;NL;AM;13.2; 0.069747;M6-7/5 ;       ;75.0; 0.730; 0.100
CY UMa      ;10 56 57.1;+49 41 19;DN;SU;17.0; 0.069570;       ;       ;    ;      ;
V1504 Cyg   ;19 28 56.5;+43 05 37;DN;SU;17.4; 0.069500;       ;       ;    ;      ;
V536 Dra    ;19 14 43.5;+60 52 14;DN;SU;21.0; 0.069500;       ;       ;    ;      ;
RU Hor      ;02 46 07.5;-63 35 47;DN;SU;17.5; 0.069200;       ;       ;    ;      ;
EG Lyn      ;08 20 51.0;+49 34 31;NL;AM;18.0; 0.069010;       ;       ;    ;      ;
CF Gru      ;21 41 23.0;-45 04 31;DN;UG;19.9; 0.069000;       ;       ;    ;      ;
V544 Her    ;16 38 05.4;+08 37 58;DN;UG;20.1; 0.069000;       ;       ;    ;      ;
J0943-2720  ;09 43 27.3;-27 20 30;DN;SU;18.8; 0.069000;       ;       ;    ;      ;
J1120+6636  ;11 20 03.4;+66 36 32;DN;SU;21.1; 0.069000;       ;       ;    ;      ;
J1329-3658  ;13 29 00.9;-36 58 59;DN;SU;21.9; 0.069000;       ;       ;    ;      ;
J1344+2044  ;13 44 41.8;+20 44 08;NL;AM;17.2; 0.069000;       ;       ;    ;      ;
J1354+2736  ;13 54 18.8;+27 36 03;DN;SU;22.7; 0.069000;       ;       ;    ;      ;
J1359-3752  ;13 59 17.5;-37 52 42;DN;SU;19.6; 0.069000;       ;       ;    ;      ;
J1554+3650  ;15 54 30.6;+36 50 42;DN;SU;21.0; 0.069000;       ;       ;    ;      ;
J1628+2402  ;16 28 30.9;+24 02 59;DN;SU;20.0; 0.069000;       ;       ;    ;      ;
J1802+4552  ;18 02 22.5;+45 52 45;DN;SU;19.5; 0.069000;       ;       ;    ;      ;
J2149-1219  ;21 49 34.2;-12 19 08;DN;SU;    ; 0.069000;       ;       ;    ;      ;
J2206+3014  ;22 06 41.1;+30 14 36;DN;SU;    ; 0.069000;       ;       ;    ;      ;
J2313+2337  ;23 13 08.1;+23 37 02;DN;SU;20.2; 0.069000;       ;       ;    ;      ;
J1132+6249  ;11 32 15.5;+62 49 01;DN;  ;18.4; 0.068900;       ;       ;    ;      ;
V1208 Tau   ;04 59 44.0;+19 26 23;DN;SU;18.4; 0.068700;       ;       ;    ;      ;
V393 Pav    ;19 57 11.5;-57 38 22;NL;AM;18.0; 0.068625;       ;       ;    ;      ;
V368 Peg    ;22 58 43.5;+11 09 12;DN;SU;17.7; 0.068600;       ;       ;    ;      ;
J1216+0520  ;12 16 07.0;+05 20 14;DN;  ;20.1; 0.068600;       ;       ;    ;      ;
V337 Cyg    ;19 59 52.9;+39 14 00;DN;SU;20.0; 0.068500;       ;       ;    ;      ;
V699 Oph    ;16 25 14.8;-04 40 26;DN;SU;16.5; 0.068500;       ;       ;    ;      ;
J1429+4145  ;14 29 55.9;+41 45 17;NL;  ;17.7; 0.068500;       ;       ;    ;      ;
J1509+4650  ;15 09 03.7;+46 50 57;DN;SU;21.0; 0.068440;       ;       ;    ;      ;
IR Gem      ;06 47 34.6;+28 06 23;DN;SU;16.3; 0.068400;       ;       ;    ;      ;
TY Psc      ;01 25 39.4;+32 23 10;DN;SU;16.0; 0.068330;       ;       ;    ;      ;
J1715+6856  ;17 15 41.8;+68 56 43;DN;SU;18.3; 0.068300;       ;       ;    ;      ;
RZ Sge      ;20 03 18.5;+17 02 53;DN;SU;16.9; 0.068280;       ;       ;    ;      ;
EX Hya      ;12 52 24.4;-29 14 57;NL;IP;12.0; 0.068234;M5-6/5 ;       ;77.8; 0.790; 0.108
HS Cam      ;07 19 14.5;+65 57 45;NL;AM;17.0; 0.068207;M4-6/5 ;       ;79.0; 0.750; 0.130
V1212 Tau   ;03 51 57.0;+25 25 28;DN;SU;20.5; 0.068200;       ;       ;    ;      ;
J1823-3021#2;18 23 40.8;-30 21 35;CV;GC;22.0; 0.068170;       ;       ;    ;      ;
V458 Vul    ;19 54 24.6;+20 52 52;Na;  ;14.6; 0.068126;       ;       ;    ;      ;
J0446-7122  ;04 46 50.0;-71 22 56;DN;SU;17.7; 0.068106;       ;       ;    ;      ;
V650 Peg    ;22 43 48.5;+08 09 27;DN;SU;19.0; 0.068100;       ;       ;    ;      ;
J0558+0006  ;05 58 42.8;+00 06 26;DN;  ;20.5; 0.068080;       ;       ;    ;      ;
J1658+1847  ;16 58 37.7;+18 47 27;DN;  ;17.5; 0.068064;       ;       ;    ;      ;
KS UMa      ;10 20 26.5;+53 04 33;DN;SU;17.0; 0.068000;       ;       ;    ;      ;
J0529+1848  ;05 29 58.8;+18 48 10;DN;SU;18.2; 0.068000;       ;       ;    ;      ;
J1117+7651  ;11 17 59.7;+76 51 31;DN;SU;21.2; 0.068000;       ;       ;    ;      ;
J1612-1509  ;16 12 21.3;-15 09 39;DN;SU;21.5; 0.068000;       ;       ;    ;      ;
J1810-5349  ;18 10 33.8;-53 49 46;DN;SU;20.7; 0.068000;       ;       ;    ;      ;
J2218+3445  ;22 18 22.9;+34 45 09;DN;SU;18.9; 0.068000;       ;       ;    ;      ;
J2318-3537  ;23 18 33.3;-35 37 22;DN;SU;19.0; 0.068000;       ;       ;    ;      ;
J2353+2742  ;23 53 13.2;+27 42 02;DN;SU;20.2; 0.068000;       ;       ;    ;      ;
BZ UMa      ;08 53 44.1;+57 48 41;DN;SU;16.0; 0.067990;M5-6/5 ;       ;    ;      ;
NSV 4838    ;10 23 20.2;+44 05 09;DN;SU;18.8; 0.067900;       ;       ;    ;      ;
SS UMi      ;15 51 22.2;+71 45 12;DN;SU;16.7; 0.067800;       ;       ;    ;      ;
NGC 104-W34 ;00 24 05.1;-72 04 47;CV;  ;22.8; 0.067670;       ;       ;    ;      ;
J1653-4144  ;16 53 34.4;-41 44 23;NL;AM;    ; 0.067650;       ;       ;    ;      ;
J1152+4049  ;11 52 07.0;+40 49 48;DN;SU;19.3; 0.067600;       ;       ;82.4; 0.560; 0.087
LW Cam      ;07 04 09.9;+62 03 28;NL;AM;17.2; 0.067547;       ;       ;    ;      ;
V550 Cyg    ;20 05 05.2;+32 21 21;DN;SU;19.5; 0.067500;       ;       ;    ;      ;
J0506+3547  ;05 06 17.4;+35 47 39;DN;SU;20.5; 0.067500;       ;       ;    ;      ;
V2690 Oph   ;16 37 22.2;-00 19 57;DN;SU;21.4; 0.067390;       ;       ;    ;      ;
V1229 Her   ;16 56 58.1;+21 21 39;CV;DN;18.5; 0.067300;       ;       ;    ;      ;
V701 Tau    ;03 44 01.9;+21 57 08;DN;SU;19.5; 0.067300;       ;       ;    ;      ;
J2154+1557  ;21 54 27.2;+15 57 13;CV;DN;20.9; 0.067294;       ;       ;    ;      ;
SX LMi      ;10 54 30.4;+30 06 10;DN;SU;17.4; 0.067200;       ;       ;    ;      ;
V1240 Her   ;17 02 44.1;+22 35 48;  ;  ;17.3; 0.067000;       ;       ;    ;      ;
PU Per      ;02 42 16.1;+35 40 46;DN;SU;20.0; 0.067000;       ;       ;    ;      ;
V1324 Sco   ;17 50 53.9;-32 37 20;Nb;  ;19.0; 0.067000;       ;       ;    ;      ;
J0632-5638  ;06 32 27.7;-56 38 53;DN;SU;19.6; 0.067000;       ;       ;    ;      ;
V375 UMa    ;10 26 37.0;+47 54 27;DN;SU;20.1; 0.067000;       ;       ;    ;      ;
J1146+6759  ;11 46 28.8;+67 59 10;DN;SU;18.8; 0.067000;       ;       ;    ;      ;
J1409-2917  ;14 09 32.1;-26 17 04;DN;SU;20.9; 0.067000;       ;       ;    ;      ;
J1628+0653  ;16 28 06.2;+06 53 15;DN;SU;20.6; 0.067000;       ;       ;    ;      ;
J1925+6851  ;19 25 14.5;+68 51 22;DN;SU;17.9; 0.067000;       ;       ;    ;      ;
J2035+0920  ;20 35 09.8;+09 20 47;DN;SU;20.7; 0.067000;       ;       ;    ;      ;
J2253+3330  ;22 53 50.5;+33 30 33;DN;SU;20.5; 0.067000;       ;       ;    ;      ;
J2349-6054  ;23 49 55.1;-60 54 17;DN;SU;19.9; 0.067000;       ;       ;    ;      ;
BS Tri      ;02 09 29.8;+28 32 29;NL;AM;17.0; 0.066881;       ;       ;90.0; 0.750; 0.160
J0950-0639  ;09 50 18.1;-06 39 22;DN;SU;20.9; 0.066818;       ;       ;    ;      ;
BC Dor      ;05 46 15.0;-68 35 24;DN;NS;18.4; 0.066800;       ;       ;    ;      ;
J0333+3320  ;03 33 52.8;+33 20 45;DN;SU;18.0; 0.066600;       ;       ;    ;      ;
IX Dra      ;18 12 31.4;+67 04 46;DN;SU;17.5; 0.066460;M2     ;       ;    ;      ;
J0932+4725  ;09 32 49.6;+47 25 23;DN;SU;18.5; 0.066303;       ;       ;    ;      ;
KY Eri      ;03 10 51.7;-07 55 00;DN;SU;20.7; 0.066300;       ;       ;    ;      ;
HP Cet      ;02 33 22.6;+00 51 00;NL;LI;18.7; 0.066280;       ;       ;    ;      ;
J2158+2419  ;21 58 18.5;+24 19 24;DN;SU;18.9; 0.066070;       ;       ;    ;      ;
J0431-0314  ;04 31 12.4;-03 14 52;DN;SU;18.9; 0.066050;       ;       ;    ;      ;
V551 Sgr    ;18 00 56.5;-34 35 45;DN;SU;19.5; 0.066000;       ;       ;    ;      ;
FL Lyn      ;08 24 09.7;+49 31 24;DN;SU;19.3; 0.066000;       ;       ;    ;      ;
J0416+2928  ;04 16 36.9;+29 28 06;DN;SU;20.0; 0.066000;       ;       ;    ;      ;
J0443-2108  ;04 43 45.4;-21 08 34;DN;SU;20.6; 0.066000;       ;       ;    ;      ;
J0553-4806  ;05 53 30.4;-48 06 23;DN;SU;22.1; 0.066000;       ;       ;    ;      ;
J0640+4421  ;06 40 21.1;+44 21 28;DN;SU;21.4; 0.066000;       ;       ;    ;      ;
J0647+4915  ;06 47 25.7;+49 15 43;DN;SU;19.0; 0.066000;       ;       ;    ;      ;
J0746-0746  ;07 46 35.1;-07 46 33;DN;SU;18.5; 0.066000;       ;       ;    ;      ;
J1015+8124  ;10 15 10.8;+81 24 19;DN;SU;21.5; 0.066000;       ;       ;    ;      ;
J1100+1315  ;11 00 14.7;+13 15 52;DN;SU;18.7; 0.066000;       ;       ;    ;      ;
J1436-3604  ;14 36 15.5;-36 04 17;DN;SU;22.2; 0.066000;       ;       ;    ;      ;
J1642-2313  ;16 42 13.2;-23 13 13;DN;SU;18.3; 0.066000;       ;       ;    ;      ;
J2218+6542  ;22 18 11.0;+65 42 20;DN;SU;20.5; 0.066000;       ;       ;    ;      ;
KX Psc      ;23 04 25.9;+06 25 46;DN;SU;21.1; 0.066000;       ;       ;    ;      ;
J0116+0922  ;01 16 13.8;+09 22 16;DN;  ;18.9; 0.065820;       ;       ;    ;      ;
GO Com      ;12 56 37.1;+26 36 44;DN;SU;20.0; 0.065800;       ;       ;    ;      ;
V2362 Cyg   ;21 11 32.3;+44 48 04;Na;  ;21.0; 0.065770;       ;       ;    ;      ;
J0945-1944  ;09 45 51.0;-19 44 01;DN;SU;16.5; 0.065769;       ;       ;    ;      ;
J1725-6438  ;17 25 54.8;-64 38 39;NL;AM;18.0; 0.065734;       ;       ;    ;      ;
J0922+3307  ;09 22 29.3;+33 07 44;DN;SU;18.4; 0.065700;       ;       ;    ;      ;
YY Sex      ;10 39 47.0;-05 06 58;NL;IP;17.4; 0.065597;       ;       ;    ;      ;
J1811+2242  ;18 11 22.9;+22 42 07;DN;SU;22.0; 0.065570;       ;       ;    ;      ;
DI Phe      ;23 54 20.4;-47 00 20;DN;  ;18.9; 0.065550;       ;       ;89.3; 0.940; 0.101
J0426+3541  ;04 26 09.3;+35 41 45;DN;SU;16.7; 0.065502;       ;       ;    ;      ;
J0438+0040  ;04 38 29.1;+00 40 17;DN;  ;19.0; 0.065500;       ;       ;    ;      ;
PW Aqr      ;20 50 17.8;-05 36 27;NL;AM;    ; 0.065425;       ;       ;    ;      ;
DM Lyr      ;18 58 44.4;+30 15 33;DN;SU;18.4; 0.065409;       ;       ;    ;      ;
AO Oct      ;21 05 08.2;-75 21 02;DN;SU;19.8; 0.065350;       ;       ;    ;      ;
J1524+2209  ;15 24 19.3;+22 09 20;DN;SU;18.6; 0.065319;       ;       ;82.8;      ;
J0746+1734  ;07 46 40.6;+17 34 13;DN;SU;20.0; 0.065300;       ;       ;    ;      ;
J0912-0349  ;09 12 46.0;-03 49 16;DN;  ;17.9; 0.065300;       ;       ;    ;      ;
AK Cnc      ;08 55 21.2;+11 18 15;DN;SU;18.9; 0.065100;       ;       ;    ;      ;
V1195 Oph   ;17 00 21.7;-20 53 34;DN;SU;20.5; 0.065000;       ;       ;    ;      ;
J0232-3717  ;02 32 38.0;-37 17 55;DN;SU;18.8; 0.065000;       ;       ;    ;      ;
J0411-0907  ;04 11 33.6;-09 07 29;DN;SU;19.6; 0.065000;       ;       ;    ;      ;
J0505+2225  ;05 05 03.1;+22 25 30;DN;SU;19.9; 0.065000;       ;       ;    ;      ;
J0648+4147  ;06 48 04.5;+41 47 02;DN;SU;20.1; 0.065000;       ;       ;    ;      ;
J1055+5731  ;10 55 45.2;+57 31 10;DN;SU;22.2; 0.065000;       ;       ;    ;      ;
J1259+2426  ;12 59 05.8;+24 26 33;DN;SU;21.1; 0.065000;       ;       ;    ;      ;
J1743+2311  ;17 43 05.7;+23 11 08;DN;SU;20.2; 0.065000;       ;       ;    ;      ;
J1752+5001  ;17 52 19.1;+50 01 16;DN;SU;22.2; 0.065000;       ;       ;    ;      ;
V776 And    ;23 19 36.1;+36 47 00;DN;SU;19.0; 0.065000;       ;       ;    ;      ;
AQ CMi      ;07 14 34.8;+08 48 06;DN;SU;18.8; 0.064900;       ;       ;    ;      ;
CT Hya      ;08 51 07.4;+03 08 34;DN;SU;19.9; 0.064900;       ;       ;    ;      ;
UV Per      ;02 10 08.3;+57 11 21;DN;SU;17.9; 0.064900;       ;       ;    ;      ;
J1538+5123  ;15 38 17.4;+51 23 38;DN;  ;18.6; 0.064660;       ;       ;    ;      ;
EQ Cet      ;01 28 52.5;-23 39 43;NL;AM;17.5; 0.064455;M6/5   ;       ;    ;      ;
